index_gen,index_ind,htg_sp,clg_sp,wwr,insulation_thickness,carbon_emissons,discomfort_hours
44,19,22,25.5,0.200412727527423,0.447604311132718,234665.0159,670.67
44,20,18,26.5,0.200134566092691,0.447604311132718,217437.1857,2980.83
45,1,18,27,0.200126286761207,0.445884732120138,215666.0834,3508.33
45,2,22,24,0.200412316733248,0.446155780198553,247101.3993,658.83
45,3,22,25.5,0.200134556923414,0.447604311132718,234665.0159,670.67
45,4,20.5,25.5,0.200134566092691,0.446154249813329,227128.9179,1881
45,5,21.5,25.5,0.200134629541341,0.445887833322099,231747.4461,1153.83
45,6,18.5,25.5,0.200113774643469,0.447604311132718,221766.0031,2045.33
45,7,18.5,26.5,0.200412470040756,0.447604311132718,218049.3478,2973.83
45,8,21,25.5,0.200413357063105,0.446154249813329,229253.5759,1594.83
45,9,22,25.5,0.200111619797966,0.446154249813329,234651.8249,670.83
45,10,18,25.5,0.200126439811637,0.447604311132718,221011.4783,2054.33
45,11,18.5,27,0.200126439811637,0.447660946954077,216204.4922,3502.67
45,12,18,25.5,0.200126233008428,0.447604311132718,221011.4783,2054.33
45,13,22,26.5,0.200126439811637,0.447604311132718,228343.4029,1721
45,14,18,26.5,0.200412263787719,0.447604311132718,217437.1857,2980.83
45,15,18,26.5,0.200134566092691,0.447604311132718,217437.1857,2980.83
45,16,22,26.5,0.200126439811637,0.447604311132718,228343.4029,1721
45,17,18.5,25.5,0.200126439811637,0.447604311132718,221766.0031,2045.33
45,18,18,27,0.200134566092691,0.447604311132718,215670.5369,3507.83
45,19,22,25.5,0.200412727527423,0.447604311132718,234665.0159,670.67
45,20,18,26.5,0.200412727527423,0.447604311132718,217437.1857,2980.83
46,1,18,27,0.200126286761207,0.445884732120138,215666.0834,3508.33
46,2,22,24,0.200412316733248,0.446155780198553,247101.3993,658.83
46,3,22,25.5,0.200113774643469,0.447604311132718,234646.6936,670.67
46,4,20.5,25.5,0.200113774643469,0.447604311132718,227107.3112,1880.5
46,5,21.5,25.5,0.200134629541341,0.445887833322099,231747.4461,1153.83
46,6,18.5,25.5,0.200126439811637,0.447604311132718,221766.0031,2045.33
46,7,21,25.5,0.200413357063105,0.446154249813329,229253.5759,1594.83
46,8,18,25.5,0.200126439811637,0.447604311132718,221011.4783,2054.33
46,9,18.5,26.5,0.200126439811637,0.447604311132718,218039.9409,2972.67
46,10,18.5,27,0.200126439811637,0.447660946954077,216204.4922,3502.67
46,11,18,25.5,0.200126439811637,0.447604311132718,221011.4783,2054.33
46,12,18.5,26.5,0.200126439811637,0.447604311132718,218039.9409,2972.67
46,13,22,26.5,0.200126439811637,0.447604311132718,228343.4029,1721
46,14,18,26.5,0.200126439811637,0.447604311132718,217427.4816,2980
46,15,18,26.5,0.200124578520666,0.447604311132718,217427.4816,2980
46,16,22,26.5,0.200126439811637,0.447604311132718,228343.4029,1721
46,17,18.5,25.5,0.200113774643469,0.447604311132718,221766.0031,2045.33
46,18,18,27,0.200134566092691,0.447604311132718,215670.5369,3507.83
46,19,18,25.5,0.200126233008428,0.447604311132718,221011.4783,2054.33
46,20,22,26.5,0.200126439811637,0.447604311132718,228343.4029,1721
47,1,22,24,0.200412316733248,0.446155780198553,247101.3993,658.83
47,2,18,27,0.200126439811637,0.447604311132718,215661.277,3507.67
47,3,22,25.5,0.200126439811637,0.447604311132718,234646.6936,670.67
47,4,20.5,25.5,0.200113774643469,0.447604311132718,227107.3112,1880.5
47,5,21.5,25.5,0.200134629541341,0.445887833322099,231747.4461,1153.83
47,6,18.5,25.5,0.200126286761207,0.447604311132718,221766.0031,2045.33
47,7,21,25.5,0.200126439811637,0.447604311132718,229230.9914,1594
47,8,18,25.5,0.200126439811637,0.447604311132718,221011.4783,2054.33
47,9,18.5,26.5,0.200126439811637,0.447604311132718,218039.9409,2972.67
47,10,22,25.5,0.200113774643469,0.447604311132718,234646.6936,670.67
47,11,18.5,27,0.200126439811637,0.447660946954077,216204.4922,3502.67
47,12,18,25.5,0.200126233008428,0.447604311132718,221011.4783,2054.33
47,13,18.5,26.5,0.200126439811637,0.447604311132718,218039.9409,2972.67
47,14,22,26.5,0.200126439811637,0.447604311132718,228343.4029,1721
47,15,18,26.5,0.200126439811637,0.447604311132718,217427.4816,2980
47,16,18,26.5,0.200126286761207,0.447604311132718,217427.4816,2980
47,17,22,26.5,0.200126286761207,0.447604311132718,228343.4029,1721
47,18,18.5,25.5,0.200126439811637,0.447604311132718,221766.0031,2045.33
47,19,18,25.5,0.200126439811637,0.447604311132718,221011.4783,2054.33
47,20,18,26.5,0.200124578520666,0.447604311132718,217427.4816,2980
48,1,22,24,0.200412316733248,0.446155780198553,247101.3993,658.83
48,2,18,27,0.200126439811637,0.447604311132718,215661.277,3507.67
48,3,18,27,0.200113178396703,0.447604311132718,215661.277,3507.67
48,4,22,25.5,0.200126441641366,0.447604311132718,234646.6936,670.67
48,5,21.5,25.5,0.200134629541341,0.445887833322099,231747.4461,1153.83
48,6,20.5,25.5,0.200113774643469,0.447604311132718,227107.3112,1880.5
48,7,18.5,25.5,0.200126286761207,0.447604311132718,221766.0031,2045.33
48,8,21,25.5,0.200126439811637,0.447604311132718,229230.9914,1594
48,9,18,25.5,0.200126439811637,0.447604311132718,221011.4783,2054.33
48,10,18.5,26.5,0.200126439811637,0.447604311132718,218039.9409,2972.67
48,11,22,25.5,0.200126439811637,0.447604311132718,234646.6936,670.67
48,12,22,26.5,0.200126439811637,0.447660946954077,228343.086,1721
48,13,18.5,27,0.200126439811637,0.447660946954077,216204.4922,3502.67
48,14,18,25.5,0.200126439811637,0.447604311132718,221011.4783,2054.33
48,15,18.5,26.5,0.200126439811637,0.447604311132718,218039.9409,2972.67
48,16,20.5,25.5,0.200124578520666,0.447604311132718,227107.3112,1880.5
48,17,18,26.5,0.200126439811637,0.447604311132718,217427.4816,2980
48,18,18,26.5,0.200126286312208,0.447604311132718,217427.4816,2980
48,19,18.5,25.5,0.200126286761207,0.447604311132718,221766.0031,2045.33
48,20,22,25.5,0.200113774643469,0.447604311132718,234646.6936,670.67
49,1,22,24,0.200412316733248,0.446155780198553,247101.3993,658.83
49,2,18,27,0.200126439811637,0.447604311132718,215661.277,3507.67
49,3,18,27,0.200126439811637,0.447604311132718,215661.277,3507.67
49,4,22,25.5,0.200126439811637,0.447604311132718,234646.6936,670.67
49,5,21.5,25.5,0.200134629541341,0.445887833322099,231747.4461,1153.83
49,6,20.5,25.5,0.200113774643469,0.447604311132718,227107.3112,1880.5
49,7,18.5,25.5,0.200126286761207,0.447604311132718,221766.0031,2045.33
49,8,21,25.5,0.200126439811637,0.447604311132718,229230.9914,1594
49,9,18,25.5,0.200126439811637,0.447604311132718,221011.4783,2054.33
49,10,18.5,26.5,0.200126439811637,0.447604311132718,218039.9409,2972.67
49,11,22,25.5,0.200126441641366,0.447604311132718,234646.6936,670.67
49,12,22,26.5,0.200126439811637,0.447660946954077,228343.086,1721
49,13,18.5,27,0.200126439811637,0.447660946954077,216204.4922,3502.67
49,14,18,25.5,0.200126439811637,0.447604311132718,221011.4783,2054.33
49,15,18.5,26.5,0.200126439811637,0.447604311132718,218039.9409,2972.67
49,16,20.5,25.5,0.200126439811637,0.447604311132718,227107.3112,1880.5
49,17,18,26.5,0.200126439811637,0.447604311132718,217427.4816,2980
49,18,18,26.5,0.200126439811637,0.447604311132718,217427.4816,2980
49,19,18.5,25.5,0.200126286761207,0.447604311132718,221766.0031,2045.33
49,20,18,27,0.200113178396703,0.447604311132718,215661.277,3507.67
50,1,22,24,0.200412316733248,0.446155780198553,247101.3993,658.83
50,2,18,27,0.200126439811637,0.447604311132718,215661.277,3507.67
50,3,18,27,0.200126439811637,0.447604311132718,215661.277,3507.67
50,4,22,25.5,0.200126439811637,0.447604311132718,234646.6936,670.67
50,5,21.5,25.5,0.200134629541341,0.445887833322099,231747.4461,1153.83
50,6,18.5,25.5,0.200126439811637,0.447661128578314,221765.8423,2045.33
50,7,20.5,25.5,0.200113774643469,0.447604311132718,227107.3112,1880.5
50,8,21,25.5,0.200126439811637,0.447604311132718,229230.9914,1594
50,9,18,25.5,0.200126439811637,0.447604311132718,221011.4783,2054.33
50,10,18.5,26.5,0.200126439811637,0.447604311132718,218039.9409,2972.67
50,11,22,25.5,0.200126439811637,0.447604311132718,234646.6936,670.67
50,12,22,26.5,0.200126439811637,0.447660946954077,228343.086,1721
50,13,18.5,27,0.200126439811637,0.447660946954077,216204.4922,3502.67
50,14,18,25.5,0.20012628916155,0.447604311132718,221011.4783,2054.33
50,15,18.5,26.5,0.200126439811637,0.447604311132718,218039.9409,2972.67
50,16,20.5,25.5,0.200126439811637,0.447604311132718,227107.3112,1880.5
50,17,18,26.5,0.200126439811637,0.447604311132718,217427.4816,2980
50,18,18,26.5,0.200126441641366,0.447604311132718,217427.4816,2980
50,19,18,27,0.200126439811637,0.447604311132718,215661.277,3507.67
50,20,22,25.5,0.200126441641366,0.447604311132718,234646.6936,670.67
51,1,22,24,0.200412316733248,0.446155780198553,247101.3993,658.83
51,2,18,27,0.200126439811637,0.447604311132718,215661.277,3507.67
51,3,18,27,0.200126441564689,0.447604311132718,215661.277,3507.67
51,4,22,25.5,0.200126441641366,0.447662111290882,234646.3484,670.67
51,5,21.5,25.5,0.200134629541341,0.445887833322099,231747.4461,1153.83
51,6,18.5,25.5,0.200126439811637,0.447661128578314,221765.8423,2045.33
51,7,20.5,25.5,0.200113774643469,0.447604311132718,227107.3112,1880.5
51,8,18.5,26.5,0.200126439811637,0.447606588152393,218039.9353,2972.67
51,9,21,25.5,0.200126439811637,0.447604311132718,229230.9914,1594
51,10,18,25.5,0.200126439811637,0.447604311132718,221011.4783,2054.33
51,11,22,26.5,0.200126439811637,0.447660946954077,228343.086,1721
51,12,18.5,27,0.200126439811637,0.447660946954077,216204.4922,3502.67
51,13,18,25.5,0.200126439809128,0.447604311132718,221011.4783,2054.33
51,14,20.5,25.5,0.200126439811637,0.447604311132718,227107.3112,1880.5
51,15,18,26.5,0.200126439811637,0.447604311132718,217427.4816,2980
51,16,18,26.5,0.200126439811637,0.447604311132718,217427.4816,2980
51,17,18,27,0.200126439811637,0.447604311132718,215661.277,3507.67
51,18,18,25.5,0.20012628916155,0.447604311132718,221011.4783,2054.33
51,19,20.5,25.5,0.200126439811637,0.447604311132718,227107.3112,1880.5
51,20,18,26.5,0.200126441641366,0.447604311132718,217427.4816,2980
52,1,22,24,0.200412316733248,0.446155780198553,247101.3993,658.83
52,2,21.5,25.5,0.200134629541341,0.445887833322099,231747.4461,1153.83
52,3,18.5,25.5,0.200126439811637,0.447661128578314,221765.8423,2045.33
52,4,20.5,25.5,0.200113774643469,0.447604311132718,227107.3112,1880.5
52,5,18.5,26.5,0.200126439811637,0.447606588152393,218039.9353,2972.67
52,6,21,25.5,0.200126439811637,0.447604311132718,229230.9914,1594
52,7,18,25.5,0.200126439811637,0.447604311132718,221011.4783,2054.33
52,8,18.5,27,0.200126439811637,0.447660946954077,216204.4922,3502.67
52,9,18,25.5,0.200126439809128,0.447604311132718,221011.4783,2054.33
